SKU,GPU Time (s),File Size (KB),Storage Cost (€),Processing Cost (€),Total Cost (€)
mannequin.glb,0,270.44,0.00,0.00,0.00
SKU_6.glb,0,0,0.00,0.00,0.00
SKU_7.glb,0,0,0.00,0.00,0.00
SKU_8.glb,0,0,0.00,0.00,0.00
SKU_9.glb,0,0,0.00,0.00,0.00
SKU_10.glb,0,0,0.00,0.00,0.00
SKU_11.glb,0,0,0.00,0.00,0.00
SKU_12.glb,0,0,0.00,0.00,0.00
SKU_13.glb,0,0,0.00,0.00,0.00
SKU_14.glb,0,0,0.00,0.00,0.00
SKU_15.glb,0,0,0.00,0.00,0.00
SKU_16.glb,0,0,0.00,0.00,0.00
SKU_17.glb,0,0,0.00,0.00,0.00
SKU_18.glb,0,0,0.00,0.00,0.00
SKU_19.glb,0,0,0.00,0.00,0.00
SKU_20.glb,0,0,0.00,0.00,0.00
